"vremia","U64_1GS","U64_2GS","D21","D22","D23","D24","D25","D26","speed_DS","T_mot_DS","Obgat_DS","I_nv_pr_DS","I_nv_lev_DS","Pos_NV_pr_DS","Pos_NV_lev_DS"
"2020-06-22 00:01:30.312","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:31.359","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:32.421","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:33.390","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:34.359","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:35.375","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:36.359","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:37.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:38.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:39.343","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:40.328","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
"2020-06-22 00:01:41.343","1100","460","3.2","3.8","3.5","3.2","2.5","0","-0.02","0.01","0","-12","20","-0.21","-0.01"
